Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio
Citroën,Usados,2018,Citroen C3 Vti Feel 2018 Chevrolet Fiat Renault,Blanco,Nafta,5,Manual,1.6,Hatchback,75.000 km,8940000
Citroën,Camionetas,2011,Usados Citroën C3 Picasso 2011 Chevrolet,Blanco,Nafta,5,Manual,1.6,Hatchback,160.000 km,8880000
Citroën,C3,2020,1.6 Vti 115 Feel,Rojo,Nafta,5,Manual,1.6,Hatchback,107.000 km,17100000
Citroën,Usados,2012,Citroen C3 Aircross 2012 Ford Chevrolet Renault,Negro,Nafta,5,Manual,1.6,Hatchback,129.000 km,7370000
Citroën,Ds3,2015,1.6 Vti 120 So Chic,Blanco,Nafta,3,Manual,1.6,Hatchback,48.000 km,16900000
Citroën,C3,2020,1.6 Vti 115 Live,Negro,Nafta,5,Manual,1.6,Hatchback,25.297 km,17000000
Citroën,C4,2017,Lounge 1.6 Hdi 115 Feel Pack,Blanco,Diésel,4,Manual,1.6,Sedán,99.000 km,17000000
Citroën,C4,2014,Lounge 1.6 Tendence Hdi 115cv,Gris,Diésel,4,Manual,1.6,Sedán,81.635 km,7800
Citroën,C4,2018,Cactus 1.2 Puretech 110 At6 S&s Shine,Blanco,Nafta,5,Automática,1.2,SUV,72.000 km,11234500
Citroën,C4,2018,Cactus 1.2 Puretech 110 At6 S&s Shine,Blanco,Nafta,5,Automática,1.2,SUV,72.000 km,17989900
Citroën,Autofrance,2020,Citroën C4 Cactus 1.6 Vti 115 At6 Feel Pk,Blanco,Nafta,5,Automática,1.6,SUV,59.700 km,21700000
Citroën,C3,2024,1.6 16v Vti 115 Feel Pack At,Gris,Nafta,5,Automática,1.6,Hatchback,14.000 km,25900000
Citroën,C3,2024,1.6 16v Vti 115 Feel Pack At,Gris,Nafta,5,Automática,1.6,Hatchback,9.000 km,26500000
Citroën,C4,2017,Lounge 1.6 Hdi 115 Feel Pack,Blanco,Diésel,4,Manual,1.6,Sedán,99.000 km,16500000
Citroën,C4,2018,Lounge 1.6 Thp 165 At6 Shine,Plateado,Nafta,4,Automática,1.6,Sedán,90.000 km,12960600
Citroën,C3,2017,Aircross 1.6 Vti 115 Shine Kicks 2008 Pulse,Rojo,Nafta,5,Manual,1.6,Hatchback,70.000 km,16000000
Citroën,C4,2024,Cactus 1.6 Thp 165 Shine At6,Gris,Nafta,4,Automática,1.6,SUV,14.000 km,27500000
Citroën,Berlingo,2023,Multispace 1.6 Xtr 115 Am18,Plateado,Nafta,5,Manual,1.6,Monovolumen,15.000 km,26489900
Citroën,Berlingo,2023,Multispace 1.6 Xtr 115 Am18,Plateado,Nafta,5,Manual,1.6,Monovolumen,63.000 km,24989900
Citroën,C3,2011,Aircross 1.6 16v Sx,Negro,Nafta,5,Manual,1.6,Hatchback,108.000 km,11800000
Citroën,C4,2018,Lounge 1.6 Thp 165 At6 Shine,Plateado,Nafta,4,Automática,1.6,Sedán,90.000 km,16489900
Citroën,C4,2024,Cactus 1.6 Thp 165 Shine At6,Gris,Nafta,4,Automática,1.6,SUV,14.600 km,27500000
Citroën,C3,2016,1.6 Vti 115 Shine,Rojo,Nafta,5,Manual,1.6,Hatchback,87.000 km,14990000
Citroën,C3,2019,1.6 Vti 115 Urban Trail,Marrón,Nafta,5,Manual,1.6,Hatchback,108.000 km,14500
Citroën,Berlingo,2023,Multispace 1.6 Xtr Hdi 92 Am18,Plateado,Diésel,5,Manual,1.6,Monovolumen,17.000 km,24000
Citroën,Berlingo,2023,Multispace 1.6 Xtr Hdi 92 Am18,Gris,Diésel,5,Manual,1.6,Monovolumen,17.000 km,24120
Citroën,Berlingo,2023,Multispace 1.6 Xtr Hdi 92 Am18,Plateado,Diésel,5,Manual,1.6,Monovolumen,15.000 km,13900000
Citroën,C4,2014,Lounge 1.6 Exclusive 6at Thp 163cv Am16,Blanco,Nafta,4,Automática,1.6,Sedán,99.000 km,12500000
Citroën,C3,2018,1.6 Vti Infinit,Plateado,Nafta,5,Automática,1.6,Hatchback,79.000 km,16200000
Citroën,C3,2014,1.5 I 90cv Tendance Pack Secure,Azul,Nafta,5,Manual,1.5,Hatchback,52.801 km,13200000
Citroën,C3,2013,1.6 Exclusive Pack Myway Vti 115cv,Rojo,Nafta,5,Manual,1.6,Hatchback,115.000 km,11500
Citroën,C3,2015,Aircross 1.6 Vti 115 Tendance,Plateado,Nafta,5,Manual,1.6,Hatchback,75.000 km,14790900
Citroën,C3,2019,1.6 Vti 115 At6 Feel,Marrón,Nafta,5,Automática,1.6,Hatchback,41.000 km,13999
Citroën,C3,2013,Picasso 1.6 Exclusive 110cv,Blanco,Nafta,5,Manual,1.6,Hatchback,77.000 km,7500000
Citroën,C4,2018,Cactus 1.2 Puretech 110 At6 S&s Shine (bruno M.),Rojo,Nafta,5,Automática,1.2,SUV,60.000 km,16800000
Citroën,C3,2024,Aircross 1.0 Shine Turbo 200 Cvt Bitono 7as,Blanco,Nafta,5,Automática,1.0,SUV,20.000 km,30900000
Citroën,C3,2013,Aircross 1.6 16v Sx High Tech,Marrón,Nafta,5,Manual,1.6,Hatchback,148.000 km,9500
Citroën,C4,2019,Cactus 1.6 Vti 115 Live,Blanco,Nafta,5,Manual,1.6,SUV,51.777 km,17700000
Citroën,C3,2021,1.6 Vti 115 Feel,Blanco,Nafta,5,Manual,1.6,Hatchback,49.879 km,18900000
Citroën,Aircross,2014,1.6 Vti 115 Tendance,Negro,Nafta,5,Manual,1.6,Hatchback,130.000 km,13500000
Citroën,C4,2022,Cactus 1.6 Vti 115 Feel,Negro,Nafta,5,Manual,1.6,SUV,44.600 km,20600
Citroën,C3,2013,Aircross 1.6 16v Sx High Tech - Liv Motors,Blanco,Nafta,5,Manual,1.6,Hatchback,123.000 km,9500
Citroën,C3,2018,Aircross 1.6 Vti 115 Feel At6,Gris,Nafta,5,Automática,1.6,Hatchback,83.000 km,17899090
Citroën,C4,2012,1.6 X Pack Look Año 2012 - Liv Motors,Negro,Nafta,5,Manual,1.6,Hatchback,119.000 km,8400
Citroën,C4,2018,Cactus 1.2 Puretech 110 At6 S&s Shine,Blanco,Nafta,5,Automática,1.2,SUV,94.000 km,18890900
Citroën,C3,2019,Aircross 1.6 Vti 115 Feel,Blanco,Nafta,5,Manual,1.6,Hatchback,79.076 km,17300000
Citroën,C-elysee,2017,1.6 Feel Vti 115,Gris,Nafta,4,Manual,1.6,Sedán,132.387 km,12900000
Citroën,C4,2013,1.6 X Pack Look,Gris,Nafta,5,Manual,1.6,Hatchback,138.000 km,11500000
Citroën,C4,2013,1.6 X Pack Look,Gris,Nafta,5,Manual,1.6,Hatchback,138.000 km,11500000
Citroën,Cactus,2021,Thp 165 Eat6 Shine Am21 Kicks Cross C3 Aircross,Negro,Nafta,5,Automática,1.6,SUV,95.000 km,21000000
Citroën,C3,2012,Aircross 1.6 16v Exclusive,Gris,Nafta,5,Manual,1.6,Hatchback,106.548 km,13550000
