Marca,Modelo,Año,Versión,Color,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Combustible,Modelo_normalizado
Citroën,C3,2020,1.6 Vti 115 Feel,Rojo,5,Manual,1.6,Compacto,107.000 km,17100000,Nafta,C3
Citroën,Ds3,2015,1.6 Vti 120 So Chic,,3,Manual,1.6,Compacto,48.000 km,16900000,Nafta,Ds3
Citroën,C3,2020,1.6 Vti 115 Live,Negro,5,Manual,1.6,Compacto,25.297 km,17000000,Nafta,C3
Citroën,C4,2017,Lounge 1.6 Hdi 115 Feel Pack,,4,Manual,1.6,Sedán,99.000 km,17000000,Diésel,C4
Citroën,C4,2014,Lounge 1.6 Tendence Hdi 115cv,Gris,4,Manual,1.6,Sedán,81.635 km,7800,Diésel,C4
Citroën,C4,2018,Cactus 1.2 Puretech 110 At6 S&s Shine,,5,Automática,1.2,SUV,72.000 km,11234500,Nafta,C4
Citroën,C4,2018,Cactus 1.2 Puretech 110 At6 S&s Shine,,5,Automática,1.2,SUV,72.000 km,17989900,Nafta,C4
Citroën,C3,2024,1.6 16v Vti 115 Feel Pack At,Gris,5,Automática,1.6,Compacto,14.000 km,25900000,Nafta,C3
Citroën,C3,2024,1.6 16v Vti 115 Feel Pack At,Gris,5,Automática,1.6,Compacto,9.000 km,26500000,Nafta,C3
Citroën,C4,2017,Lounge 1.6 Hdi 115 Feel Pack,,4,Manual,1.6,Sedán,99.000 km,16500000,Diésel,C4
Citroën,C4,2018,Lounge 1.6 Thp 165 At6 Shine,Plateado,4,Automática,1.6,Sedán,90.000 km,12960600,Nafta,C4
Citroën,C3,2017,Aircross 1.6 Vti 115 Shine Kicks 2008 Pulse,Rojo,5,Manual,1.6,Compacto,70.000 km,16000000,Nafta,C3
Citroën,C4,2024,Cactus 1.6 Thp 165 Shine At6,Gris,4,Automática,1.6,SUV,14.000 km,27500000,Nafta,C4
Citroën,Berlingo,2023,Multispace 1.6 Xtr 115 Am18,Plateado,5,Manual,1.6,Monovolumen,15.000 km,26489900,Nafta,Berlingo
Citroën,Berlingo,2023,Multispace 1.6 Xtr 115 Am18,Plateado,5,Manual,1.6,Monovolumen,63.000 km,24989900,Nafta,Berlingo
Citroën,C3,2011,Aircross 1.6 16v Sx,Negro,5,Manual,1.6,Compacto,108.000 km,11800000,Nafta,C3
Citroën,C4,2018,Lounge 1.6 Thp 165 At6 Shine,Plateado,4,Automática,1.6,Sedán,90.000 km,16489900,Nafta,C4
Citroën,C4,2024,Cactus 1.6 Thp 165 Shine At6,Gris,4,Automática,1.6,SUV,14.600 km,27500000,Nafta,C4
Citroën,C3,2016,1.6 Vti 115 Shine,Rojo,5,Manual,1.6,Compacto,87.000 km,14990000,Nafta,C3
Citroën,C3,2019,1.6 Vti 115 Urban Trail,Marrón,5,Manual,1.6,Compacto,108.000 km,14500,Nafta,C3
Citroën,Berlingo,2023,Multispace 1.6 Xtr Hdi 92 Am18,Plateado,5,Manual,1.6,Monovolumen,17.000 km,24000,Diésel,Berlingo
Citroën,Berlingo,2023,Multispace 1.6 Xtr Hdi 92 Am18,Gris,5,Manual,1.6,Monovolumen,17.000 km,24120,Diésel,Berlingo
Citroën,Berlingo,2023,Multispace 1.6 Xtr Hdi 92 Am18,Plateado,5,Manual,1.6,Monovolumen,15.000 km,13900000,Diésel,Berlingo
Citroën,C4,2014,Lounge 1.6 Exclusive 6at Thp 163cv Am16,,4,Automática,1.6,Sedán,99.000 km,12500000,Nafta,C4
Citroën,C3,2018,1.6 Vti Infinit,Plateado,5,Automática,1.6,Compacto,79.000 km,16200000,Nafta,C3
Citroën,C3,2014,1.5 I 90cv Tendance Pack Secure,Azul,5,Manual,1.5,Compacto,52.801 km,13200000,Nafta,C3
Citroën,C3,2013,1.6 Exclusive Pack Myway Vti 115cv,Rojo,5,Manual,1.6,Compacto,115.000 km,11500,Nafta,C3
Citroën,C3,2015,Aircross 1.6 Vti 115 Tendance,Plateado,5,Manual,1.6,Compacto,75.000 km,14790900,Nafta,C3
Citroën,C3,2019,1.6 Vti 115 At6 Feel,Marrón,5,Automática,1.6,Compacto,41.000 km,13999,Nafta,C3
Citroën,C3,2013,Picasso 1.6 Exclusive 110cv,,5,Manual,1.6,Compacto,77.000 km,7500000,Nafta,C3
Citroën,C4,2018,Cactus 1.2 Puretech 110 At6 S&s Shine (bruno M.),Rojo,5,Automática,1.2,SUV,60.000 km,16800000,Nafta,C4
Citroën,C3,2024,Aircross 1.0 Shine Turbo 200 Cvt Bitono 7as,,5,Automática,1.0,SUV,20.000 km,30900000,Nafta,C3
Citroën,C3,2013,Aircross 1.6 16v Sx High Tech,Marrón,5,Manual,1.6,Compacto,148.000 km,9500,Nafta,C3
Citroën,C4,2019,Cactus 1.6 Vti 115 Live,,5,Manual,1.6,SUV,51.777 km,17700000,Nafta,C4
Citroën,C3,2021,1.6 Vti 115 Feel,,5,Manual,1.6,Compacto,49.879 km,18900000,Nafta,C3
Citroën,C3,2014,1.6 Vti 115 Tendance,Negro,5,Manual,1.6,Compacto,130.000 km,13500000,Nafta,C3
Citroën,C4,2022,Cactus 1.6 Vti 115 Feel,Negro,5,Manual,1.6,SUV,44.600 km,20600,Nafta,C4
Citroën,C3,2013,Aircross 1.6 16v Sx High Tech - Liv Motors,,5,Manual,1.6,Compacto,123.000 km,9500,Nafta,C3
Citroën,C3,2018,Aircross 1.6 Vti 115 Feel At6,Gris,5,Automática,1.6,Compacto,83.000 km,17899090,Nafta,C3
Citroën,C4,2012,1.6 X Pack Look Año 2012 - Liv Motors,Negro,5,Manual,1.6,Compacto,119.000 km,8400,Nafta,C4
Citroën,C4,2018,Cactus 1.2 Puretech 110 At6 S&s Shine,,5,Automática,1.2,SUV,94.000 km,18890900,Nafta,C4
