Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio
Fiat,Toro,2018,2.0 Freedom 4x4,Blanco,Diésel,4,Manual,2.0,Pick-Up,49.160 km,23800000
Fiat,Toro,2022,1.8 170 E-torq Evo Freedom At6,Negro,Nafta,4,Automática,1.8,Pick-Up,50.435 km,15620
Fiat,Fiorino,2010,1.3 Fire,Rojo,Nafta,3,Manual,1.3,Furgón,153.000 km,9000
Fiat,Argo,2019,1.8 Hgt,Rojo,Nafta,5,Manual,1.8,Hatchback,52.631 km,10000
Fiat,Toro,2022,1.8 170 E-torq Evo Freedom At6,Negro,Nafta,4,Automática,1.8,Pick-Up,50.328 km,15000
Fiat,Cronos,2023,1.3 Gse Drive 14.000km 2023 (fran),Gris,Nafta,4,Manual,1.3,Sedán,14.000 km,24300000
Fiat,Argo,2019,1.8 Hgt Hermoso! (aes),Blanco,Nafta,5,Manual,1.8,Hatchback,83.000 km,19000000
Fiat,Cronos,2019,1.3 Gse Drive,Plateado,Nafta,5,Manual,1.3,Sedán,122.000 km,17439000
Fiat,Cronos,2019,1.8 16v Precision At6 Pack Premium,Gris,Nafta,4,Automática,1.8,Sedán,49.700 km,18500000
Fiat,Palio,2015,1.4 Weekend Attractive 87cv,Plateado,Nafta,5,Manual,1.4,Rural,95.632 km,6000
Fiat,Toro,2018,2.0 Freedom 4x4 At,Blanco,Diésel,4,Automática,2.0,Pick-Up,49.000 km,23800000
Fiat,Palio,2013,1.4 Attractive 85cv,Gris,Nafta,5,Manual,1.4,Hatchback,123.000 km,9200
Fiat,Argo,2019,1.8 Hgt,Rojo,Nafta,5,Manual,1.8,Hatchback,56.146 km,10350
Fiat,500x,2018,1.4 T 16v Pop,Gris,Nafta,5,Manual,1.4,SUV,60.000 km,12300000
Fiat,Cronos,2020,1.3 Gse Drive,Rojo,Nafta,4,Manual,1.3,Sedán,101.100 km,16500000
Fiat,500x,2018,1.4 T 16v Pop,Gris,Nafta,5,Manual,1.4,SUV,65.000 km,21989900
Fiat,Cronos,2022,1.3 Drive Cvt,Blanco,Nafta,4,Automática,1.3,Sedán,98.300 km,17359980
Fiat,Cronos,2020,1.3 Gse Drive Pack Conectividad,Negro,Nafta,4,Manual,1.3,Sedán,42.000 km,19900000
Fiat,Strada,2021,1.4 8v Endurance Cs,Blanco,Nafta,3,Manual,1.4,Pick-Up,53.000 km,11686400
Fiat,Strada,2021,1.4 8v Endurance Cs,Blanco,Nafta,3,Manual,1.4,Pick-Up,53.000 km,18989900
Fiat,500x,2019,1.4 T 16v Cross At9,Rojo,Nafta,5,Automática,1.4,SUV,56.000 km,29500000
Fiat,Palio,2015,1.4 Fire Pack Seg. Top,Gris,Nafta,5,Manual,1.4,Hatchback,89.000 km,11900000
Fiat,Cronos,2022,1.8 16v Precision - Us,Plateado,Nafta,4,Manual,1.8,Sedán,70.000 km,19490000
Fiat,Pulse,2022,1.0 Impetus T3 Cvt 2022 70.422km,Gris,Nafta,5,Automática,1.0,SUV,70.422 km,26500000
Fiat,Cronos,2022,1.3 Drive S-design Mt - Excelente Estado (juan),Blanco,Nafta,4,Manual,1.3,Sedán,64.000 km,19890000
Fiat,Punto,2014,1.4 Attractive Año 2014 - Liv Motors,Blanco,Nafta,5,Manual,1.4,Hatchback,109.000 km,9900
Fiat,A,2024,Pagar Strada Pyme Flota Empresa Permuto Auto Usados Sv,Plateado,Nafta,3,Manual,1.4,Pick-Up,500 km,7800
Fiat,Pulse,2022,1.0 Impetus T3 Cvt,Azul,Nafta,5,Automática,1.0,SUV,22.000 km,27900000
