Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio
Renault,Sandero,2022,1.6 16v Intense 2022 (mja),Blanco,Nafta,5,Manual,1.6,Hatchback,80.000 km,18800000
Renault,Camioneta,2018,Usado Renault Duster Privilege 2018 2.0 Fiat,Blanco,Nafta,5,Manual,2.0,SUV,83.000 km,11740000
Renault,Sandero,2024,Stepway 1.6 16v Intense,Blanco,Nafta,5,Manual,1.6,Hatchback,22.456 km,10250
Renault,Sandero,2022,1.6 16v Life 2022 (mja),Azul,Nafta,5,Manual,1.6,Hatchback,74.000 km,17900000
Renault,Sandero,2011,1.6 Confort 105cv 2011 (mja),Negro,Nafta,5,Manual,1.6,Hatchback,131.000 km,9800000
Renault,Kangoo,2020,Ii Express Confort 5a 1.6 Sce 2020 (mja),Plateado,Nafta,4,Manual,1.6,Furgón,55.000 km,21400000
Renault,Sandero,2021,Stepway 1.6 16v Intense Cvt 2021 (mja),Blanco,Nafta,5,Automática,1.6,Hatchback,58.000 km,21300000
Renault,Sandero,2022,Stepway 1.6 16v Intense (aes),Rojo,Nafta,5,Manual,1.6,Hatchback,18.000 km,21300000
Renault,Kwid,2019,1.0 Sce 66cv Intense,Gris,Nafta,5,Manual,1.0,Hatchback,19.000 km,12500
Renault,Kangoo,2018,1.6 Furgon Ph3 Confort 1plc 2018 (mja),Plateado,Nafta,3,Manual,1.6,Furgón,79.000 km,15900000
Renault,Alaskan,2024,2.3 Dci 4x2 Intens At L23,Blanco,Diésel,4,Automática,TURBO DIESEL INYECCION,Pick-Up,1.000 km,37500000
Renault,Duster,2020,1.6 Ph2 4x2 Dynamique 110cv,Rojo,Nafta,5,Manual,1.6,SUV,65.000 km,11000000
Renault,Duster,2020,1.6 Ph2 4x2 Dynamique 110cv,Rojo,Nafta,5,Manual,1.6,SUV,65.000 km,20989900
Renault,Autofrance,2024,Renault Kangoo Ii Express Confort 1.5 Dci,Gris,Diésel,3,Manual,1.5,Furgón,26.000 km,15900000
Renault,Sandero,2022,Stepway 1.6 16v Intense Unica (cf),Rojo,Nafta,5,Manual,1.6,Hatchback,18.000 km,21299999
Renault,Sandero,2018,1.6 Authentique 90cv Nac,Gris,Nafta,5,Manual,1.6,Hatchback,82.400 km,8300
Renault,Kangoo,2021,Ii Express Confort 5a 1.6 Sce,Gris,Nafta/GNC,4,Manual,1.6,Furgón,43.000 km,12000
Renault,Kangoo,2023,Ii Express Confort 5a 1.6 Hermosa (aes),Gris,Nafta,3,Manual,1.6,Furgón,68.000 km,21700000
Renault,Duster,2018,Oroch 2.0 Outsider Plus,Gris,Nafta,4,Manual,2.0,SUV,92.103 km,20250000
Renault,Duster,2019,Oroch 2.0 Outsider Plus,Blanco,Nafta,4,Manual,2.0,SUV,92.227 km,21500000
Renault,Kangoo,2023,Ii Express 1.6 Sce Confort 5a (ch),Gris,Nafta,4,Manual,1.6,Furgón,65.000 km,22872000
Renault,Kangoo,2023,Express 1.6 Confort 5a Estado Ideal (juan),Gris,Nafta,4,Manual,1.6,Furgón,66.000 km,22800000
Renault,Clio,2015,1.2 Mio Confort Plus Abs Abcp,Blanco,Nafta,5,Manual,1.2,Hatchback,98.400 km,12500000
Renault,Sandero,2016,1.6 Gt Line 105cv,Blanco,Nafta,5,Manual,1.6,Hatchback,118.000 km,12500000
Renault,Captur,2017,2.0 Zen,Blanco,Nafta,5,Manual,2.0,SUV,145.643 km,17350000
Renault,Kangoo,2023,Ii Express Confort 5a 1.6 Sce Unica (cf),Gris,Nafta,3,Manual,1.6,Furgón,68.000 km,22899999
Renault,R19,1996,1.6 Rni,Rojo,Nafta,4,Manual,1.6,Sedán,38.000 km,6950
Renault,Kangoo,2020,Ii Express Emotion 5a 1.6 Sce Oferta (LG),Blanco,Nafta,4,Manual,1.6,Furgón,130.000 km,21600000
Renault,Logan,2024,1.6 16v Intense,Plateado,Nafta,4,Manual,1.6,Sedán,9.000 km,23000000
Renault,Sandero,2017,Stepway 1.6 Privilege 105cv,Gris,Nafta,5,Manual,1.6,Hatchback,95.000 km,16500000
Renault,Sandero,2015,Stepway 1.6 Privilege 105cv,Naranja,Nafta,5,Manual,1.6,Hatchback,131.000 km,10400000
Renault,Duster,2014,2.0 4x4 Luxe Nav 138cv,Negro,Nafta,5,Manual,2.0,SUV,160.000 km,15000000
Renault,Kangoo,2017,1.6 Furgon 5 Asientos Gnc Anticipo $6.900.000,Plateado,Nafta/GNC,3,Manual,1.6,Furgón,195.000 km,13300000
Renault,Sandero,2023,Stepway 1.6 16v Intense,Plateado,Nafta,5,Manual,1.6,Hatchback,55.000 km,20499900
Renault,Sandero,2016,1.6 Privilege 105cv,Gris,Nafta,5,Manual,1.6,Hatchback,89.000 km,16000000
