Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio
Toyota,Etios,2018,1.5 Xs My19 2018 (mja),Gris,Nafta,5,Manual,1.5,Hatchback,74.000 km,18300000
Toyota,Corolla,2023,2.0 Xei Cvt 171cv Virtus Sentra Vento K30 408,Blanco,Nafta,4,Automática,2.0,Sedán,16.350 km,35000000
Toyota,Yaris,2020,1.5 107cv Xs Sedan Virtus Cronos Versa 208 Hb20,Gris,Nafta,4,Manual,1.5,Sedán,60.600 km,22000000
Toyota,Innova,2018,2.7 Srv 6at 8a,Gris,Nafta,5,Automática,2.7,Monovolumen,101.852 km,25999
Toyota,Sw4,2023,2.8 Srx 204cv 4x4 7as At S.a,Blanco,Diésel,5,Automática,2.8,SUV,60.000 km,60000000
Toyota,Corolla,2023,2.0 Xei Cvt 171cv Cronos Virtus Cruze Sentra,Blanco,Nafta,4,Automática,2.0,Sedán,16.000 km,35000000
Toyota,C-hr,2020,Hv Ecvt 1.8 Corolla Hrv Cross Kicks,Rojo,Híbrido,5,Automática,1.8,SUV,5.000 km,49900000
Toyota,Corolla,2021,2.0 Xli Cvt 170cv,Blanco,Nafta,4,Automática,2.0,Sedán,27.184 km,27500000
Toyota,Yaris,2018,1.5 107cv Xls Cronos Virtus Versa Etios Cruze,Gris,Nafta,4,Manual,1.5,Hatchback,62.950 km,20000000
Toyota,C-hr,2020,1.8 Ecvt Hv Taos Nivus Cross Kicks Compass Zrv,Rojo,Híbrido/Nafta,4,Automática,1.8,Hatchback,5.122 km,49900000
Toyota,Sw4,2023,2.8 Srx 204cv 4x4 7as At Everest Crv X-trail,Blanco,Diésel,5,Automática,2.8,SUV,60.000 km,60000000
Toyota,Corolla,2017,1.8 Xli Cvt 140cv Ugarcia,Gris,Nafta,4,Automática,1.8,Sedán,130.900 km,20000000
Toyota,Yaris,2022,1.5 107cv Xs Titular 19000 Km,Blanco,Nafta,5,Manual,1.5,Hatchback,19.000 km,20480
Toyota,Corolla,2021,Cross 2.0 Xei Cvt,Blanco,Nafta,5,Automática,2.0,SUV,49.000 km,35900000
Toyota,Corolla,2021,2.0 Xli Cvt 170cv Jp,Blanco,Nafta,4,Automática,2.0,Sedán,12.388 km,31499000
Toyota,Yaris,2019,1.5 107cv S,Blanco,Nafta,5,Manual,1.5,Hatchback,47.000 km,22900000
Toyota,Hilux,2023,Sw4 2.8 Srx 177cv 4x4 7as At Frontier Ranger,Blanco,Diésel,5,Automática,2.8,SUV,40.000 km,61000000
Toyota,86,2014,2.0 Ft Mt,Rojo,Nafta,2,Manual,2.0,Coupé,53.000 km,28000
Toyota,Hilux,2021,Pick-up 2.8 Cd Srx 177cv 4x2 At Frontier Ranger,Gris,Diésel,4,Automática,2.8,Pick-Up,88.100 km,44000000
Toyota,Corolla,2022,2.0 Grs Cvt 170cv,Negro,Nafta,4,Automática,2.0,Sedán,96.000 km,18387200
Toyota,Corolla,2022,2.0 Grs Cvt 170cv,Negro,Nafta,4,Automática,2.0,Sedán,96.000 km,32989900
Toyota,Hilux,2024,Pick-up 2.8 Cd Srx 204cv 4x4 At,Gris,Diésel,4,Automática,2.8,Pick-Up,5.000 km,57400000
Toyota,Hilux,2024,Pick-up 2.8 Cd Srx 204cv 4x4 At,Gris,Diésel,4,Automática,2.8,Pick-Up,5.000 km,68989900
Toyota,Etios,2019,1.5 Sedan X,Blanco,Nafta,4,Manual,1.5,Sedán,75.000 km,16989900
