Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio
Volkswagen,Suran,2015,1.6 Comfortline 101cv Ab 2015 (mja),Rojo,Nafta,5,Manual,1.6,Monovolumen,115.000 km,13600000
Volkswagen,Usados,2012,Volkswagen Bora 2.0 2012 Tiptronic Ford Fiat,Azul,Nafta,4,Automática,2.0,Sedán,95.000 km,8540000
Volkswagen,Camionetas,2023,Usados Volkswagen Amarok Trendline 4x2 2023,Blanco,Diésel,4,Manual,2.0,Pick-Up,23.000 km,17040000
Volkswagen,Usados,2014,Volkswagen Move Up 1.0 2014 Chevrolet Ford Fiat,Gris,Nafta,5,Manual,1.0,Hatchback,89.000 km,8380000
Volkswagen,Gol,2013,1.4 Power 83cv 3 P 2013 (mja),Blanco,Nafta,3,Manual,1.4,Hatchback,55.000 km,9200000
Volkswagen,Up!,2016,1.0 Take Up! Aa 75cv 5 P 2016 (mja),Blanco,Nafta,5,Manual,1.0,Hatchback,102.000 km,13900000
Volkswagen,Suran,2018,1.6 Highline,Azul,Nafta/GNC,5,Manual,1.6,Hatchback,98.456 km,7800
Volkswagen,Voyage,2014,1.6 Comfortline Plus 101cv,Negro,Nafta,4,Manual,1.6,Sedán,112.321 km,8420
Volkswagen,Tiguan,2018,Allspace 2.0 Tsi Comfortline Dsg Ugarcia,Gris,Nafta,5,Automática,2.0,SUV,88.447 km,34000000
Volkswagen,Amarok,2024,2.0 Cd Tdi 180cv Highline Ugarcia,Gris,Diésel,4,Manual,2.0,Pick-Up,28.400 km,42000000
Volkswagen,Amarok,2023,2.0 Cd Tdi 180cv Highline At Ugarcia,Gris,Diésel,4,Automática,2.0,Pick-Up,43.800 km,43000000
Volkswagen,Voyage,2014,1.6 Comfortline Plus 101cv,Negro,Nafta,4,Manual,1.6,Sedán,113.000 km,8500
Volkswagen,Up!,2017,1.0 Move Up! 75cv,Blanco,Nafta,3,Manual,1.0,Hatchback,85.000 km,14989900
Volkswagen,Amarok,2022,3.0 Td V6 258hp 4x4 Dc Extreme At L20,Blanco,Diésel,4,Automática,TURBO DIESEL INYECCION,Pick-Up,102.216 km,47500000
Volkswagen,Taos,2021,1.4 250 Tsi Highline Tiptronic L21,Blanco,Nafta,5,Automática,TURBOALIMENTADO,SUV,71.208 km,37500000
Volkswagen,Amarok,2018,2.0 Cd Tdi 180cv Highline,Blanco,Diésel,4,Manual,2.0,Pick-Up,114.000 km,16952300
Volkswagen,Amarok,2018,2.0 Cd Tdi 180cv Highline,Blanco,Diésel,4,Manual,2.0,Pick-Up,114.000 km,31989900
Volkswagen,Amarok,2017,2.0 Cs Tdi 140cv Trendline,Blanco,Diésel,2,Manual,2.0,Pick-Up,145.000 km,21989900
Volkswagen,Voyage,2017,1.6 Trenline 101cv,Negro,Nafta/GNC,4,Manual,1.6,Sedán,93.000 km,14489900
Volkswagen,Amarok,2023,3.0 V6 Cd Highline,Blanco,Diésel,4,Automática,3.0,Pick-Up,39.000 km,49900000
Volkswagen,Allspace,2019,1.4 Tsi Trendline 150cv Dsg. Titular.,Azul,Nafta,5,Automática,1.4,SUV,95.400 km,30000000
Volkswagen,Amarok,2023,2.0 Cd Tdi 180cv Comfortline,Gris,Diésel,4,Manual,2.0,Pick-Up,28.000 km,37850000
Volkswagen,Tiguan,2019,Allspace 2.0 Tsi Highline Dsg Nd,Blanco,Nafta,5,Automática,2.0,SUV,155.000 km,36000000
Volkswagen,Bora,2010,2.0 Trendline 115cv,Gris,Nafta,4,Manual,2.0,Sedán,74.000 km,12500
Volkswagen,Taos,2024,1.4 250 Tsi Comfortline Tiptronic,Negro,Nafta,5,Automática,1.4,SUV,17.000 km,39500000
Volkswagen,Golf,2016,1.4 Highline Tsi Dsg,Gris,Nafta,5,Automática,1.4,Hatchback,115.000 km,23499999
Volkswagen,T-cross,2020,1.6 Comfortline At Ugarcia,Blanco,Nafta,5,Automática,1.6,SUV,106.200 km,25000000
Volkswagen,Amarok,2019,3.0 V6 Extreme Ugarcia,Azul,Diésel,4,Automática,3.0,Pick-Up,133.000 km,43000000
Volkswagen,Amarok,2023,3.0 V6 Cd Highline Ugarcia,Blanco,Diésel,4,Automática,3.0,Pick-Up,39.500 km,49900000
Volkswagen,Amarok,2023,2.0 Cd Tdi 180cv Comfortline Nd,Gris,Diésel,4,Manual,2.0,Pick-Up,28.000 km,37900000
Volkswagen,Taos,2023,1.4 250 Tsi Highline No Tomo Usados M10,Plateado,Nafta,5,Automática,1.4,SUV,15.500 km,39999000
Volkswagen,Suran,2018,1.6 Track Speed Motors,Plateado,Nafta,5,Manual,1.6,Monovolumen,85.000 km,14000
Volkswagen,Up!,2019,1.0 High Up! 75cv 5 P,Negro,Nafta,5,Manual,1.0,Hatchback,66.000 km,16500000
Volkswagen,Taos,2024,1.4 250 Tsi Comfortline Tiptronic,Negro,Nafta,5,Automática,1.4,SUV,17.000 km,39500000
Volkswagen,Fox,2010,1.6 Comfortline Pack,Plateado,Nafta,5,Manual,1.6,Hatchback,96.000 km,11498900
Volkswagen,Amarok,2020,2.0 Cd Tdi 180cv 4x2 Trendline,Blanco,Diésel,4,Manual,2.0,Pick-Up,95.000 km,28989900
Volkswagen,Amarok,2017,2.0 Cd Tdi 140cv 4x2 Startline,Blanco,Diésel,4,Manual,2.0,Pick-Up,115.000 km,17400000
Volkswagen,Amarok,2017,2.0 Cd Tdi 140cv 4x2 Startline,Blanco,Diésel,4,Manual,2.0,Pick-Up,116.000 km,26989900
Volkswagen,Up!,2016,1.0 Black Up! 75cv,Negro,Nafta,5,Manual,1.0,Hatchback,95.000 km,13989900
Volkswagen,Vento,2019,1.4 Highline 150cv At Ugarcia,Negro,Nafta,4,Automática,1.4,Sedán,103.400 km,29500000
Volkswagen,Amarok,2023,3.0 V6 Cd Highline,Blanco,Diésel,4,Automática,3.0,Pick-Up,39.000 km,49900000
Volkswagen,Vento,2017,2.0 Tsi Gli 211cv App Connect + Nav 2017,Blanco,Nafta,4,Manual,2.0,Sedán,99.000 km,23700
